periode_data;jumlah_penumpang_transjakarta;tanggal;
01/08/2023;1009442;1;
02/08/2023;1000587;2;
03/08/2023;1002236;3;
04/08/2023;979014;4;
05/08/2023;670806;5;
06/08/2023;628885;6;
07/08/2023;1006666;7;HAPIS
08/08/2023;1011406;8;
09/08/2023;1000208;9;
10/08/2023;991508;10;
11/08/2023;982905;11;
12/08/2023;676818;12;
13/08/2023;597413;13;
14/08/2023;1008471;14;
15/08/2023;1011261;15;
16/08/2023;989925;16;
17/08/2023;535537;17;
18/08/2023;941749;18;
19/08/2023;625534;19;
20/08/2023;498446;20;
21/08/2023;433517;21;
22/08/2023;418970;22;
23/08/2023;416837;23;
24/08/2023;409463;24;
25/08/2023;408345;25;
26/08/2023;282422;26;
27/08/2023;246739;27;
28/08/2023;420126;28;
29/08/2023;422024;29;
30/08/2023;430748;30;
31/08/2023;417971;31;
01/09/2023;1015361;1;
02/09/2023;695963;2;
03/09/2023;617558;3;
04/09/2023;1026591;4;
05/09/2023;1014345;5;
06/09/2023;1014851;6;
07/09/2023;1007231;7;
08/09/2023;1032009;8;
09/09/2023;700670;9;
10/09/2023;621726;10;
11/09/2023;1065550;11;
12/09/2023;1078830;12;
13/09/2023;1074826;13;
14/09/2023;1070391;14;
15/09/2023;1064895;15;
16/09/2023;711037;16;
17/09/2023;605562;17;
18/09/2023;1080611;18;
19/09/2023;1094329;19;
20/09/2023;1101370;20;
21/09/2023;1090495;21;
22/09/2023;1081846;22;
23/09/2023;742942;23;
24/09/2023;611442;24;
25/09/2023;1100966;25;
26/09/2023;1105993;26;
27/09/2023;1109120;27;
28/09/2023;615710;28;
29/09/2023;1043002;29;
30/09/2023;730363;30;
01/10/2023;650239;1;
02/10/2023;1083284;2;
03/10/2023;1105891;3;
04/10/2023;1100992;4;
05/10/2023;1102279;5;
06/10/2023;1087623;6;
07/10/2023;725319;7;
08/10/2023;630556;8;
09/10/2023;1100382;9;
10/10/2023;1109216;10;
11/10/2023;1107503;11;
12/10/2023;1103250;12;
13/10/2023;1093067;13;
14/10/2023;727497;14;
15/10/2023;635855;15;
16/10/2023;1107316;16;
17/10/2023;1128713;17;
18/10/2023;1121625;18;
19/10/2023;1110376;19;
20/10/2023;1097821;20;
21/10/2023;721052;21;
22/10/2023;629687;22;
23/10/2023;1104758;23;
24/10/2023;1120393;24;
25/10/2023;1107625;25;
26/10/2023;1111359;26;
27/10/2023;1097914;27;
28/10/2023;748153;28;
29/10/2023;633768;29;
30/10/2023;1109764;30;
31/10/2023;1121596;31;
01/11/2023;1117922;1;
02/11/2023;1121811;2;
03/11/2023;1101969;3;
04/11/2023;735079;4;
05/11/2023;642921;5;
06/11/2023;1121028;6;
07/11/2023;1130181;7;
08/11/2023;1128956;8;
09/11/2023;1124007;9;
10/11/2023;1101730;10;
11/11/2023;748574;11;
12/11/2023;653803;12;
13/11/2023;1135364;13;
14/11/2023;1146542;14;
15/11/2023;1132691;15;
16/11/2023;1131441;16;
17/11/2023;1126115;17;
18/11/2023;744568;18;
19/11/2023;654569;19;
20/11/2023;1146384;20;
21/11/2023;1149804;21;
22/11/2023;1171288;22;
23/11/2023;1145343;23;
24/11/2023;1118527;24;HARIYOL
25/11/2023;698469;25;
26/11/2023;642518;26;
27/11/2023;1147858;27;
28/11/2023;1153413;28;
29/11/2023;1158450;29;
30/11/2023;1140648;30;
01/12/2023;1127659;1;
02/12/2023;769649;2;
03/12/2023;662120;3;
04/12/2023;1149169;4;
05/12/2023;1174098;5;
06/12/2023;1167902;6;
07/12/2023;1164122;7;
08/12/2023;1123681;8;
09/12/2023;781721;9;
10/12/2023;674405;10;
11/12/2023;1151083;11;
12/12/2023;1156065;12;
13/12/2023;1151501;13;
14/12/2023;1143117;14;
15/12/2023;1131174;15;
16/12/2023;758456;16;
17/12/2023;680941;17;
18/12/2023;1083773;18;
19/12/2023;1081461;19;
20/12/2023;1089583;20;
21/12/2023;1070707;21;
22/12/2023;1027720;22;
23/12/2023;749305;23;
24/12/2023;708769;24;
25/12/2023;609034;25;
26/12/2023;735852;26;
27/12/2023;1012112;27;
28/12/2023;1010097;28;
29/12/2023;974703;29;
30/12/2023;748326;30;
31/12/2023;660343;31;
01/01/2024;632778;1;
02/01/2024;1045214;2;
03/01/2024;1041663;3;
04/01/2024;1097752;4;
05/01/2024;1105303;5;
06/01/2024;716205;6;
07/01/2024;624900;7;
08/01/2024;1137742;8;
09/01/2024;1150147;9;
10/01/2024;1147436;10;
11/01/2024;1125270;11;
12/01/2024;1129099;12;
13/01/2024;758105;13;
14/01/2024;683688;14;
15/01/2024;1154750;15;
16/01/2024;1158105;16;
17/01/2024;1131647;17;
18/01/2024;1142880;18;
19/01/2024;1066005;19;
20/01/2024;781421;20;
21/01/2024;651780;21;
22/01/2024;1157462;22;
23/01/2024;1165110;23;
24/01/2024;1168437;24;
25/01/2024;1152249;25;
26/01/2024;1145915;26;
27/01/2024;693411;27;
28/01/2024;639808;28;
29/01/2024;1114347;29;
30/01/2024;1120316;30;
31/01/2024;1095146;31;
01/02/2024;1155322;1;
02/02/2024;1152107;2;
03/02/2024;801212;3;
04/02/2024;670195;4;
05/02/2024;1159398;5;
06/02/2024;1168189;6;
07/02/2024;1180123;7;
08/02/2024;696518;8;
09/02/2024;774403;9;
10/02/2024;683082;10;
11/02/2024;645873;11;
12/02/2024;1147300;12;
13/02/2024;1157441;13;
14/02/2024;471864;14;
15/02/2024;1111148;15;
16/02/2024;1129816;16;
17/02/2024;742067;17;
18/02/2024;649062;18;
19/02/2024;1173362;19;
20/02/2024;1194157;20;
21/02/2024;1200226;21;
22/02/2024;1179609;22;
23/02/2024;1172659;23;
24/02/2024;769879;24;
25/02/2024;667620;25;
26/02/2024;1185213;26;
27/02/2024;1197537;27;
28/02/2024;1171695;28;
29/02/2024;1099316;29;
01/03/2024;1199898;1;
02/03/2024;791038;2;
03/03/2024;703924;3;
04/03/2024;1209113;4;
05/03/2024;1235499;5;
06/03/2024;1235063;6;
07/03/2024;1237464;7;
08/03/2024;1221948;8;
09/03/2024;747057;9;
10/03/2024;704383;10;
11/03/2024;593917;11;
12/03/2024;714500;12;SANDRA
13/03/2024;1100220;13;
14/03/2024;1148676;14;
15/03/2024;1141872;15;
16/03/2024;656466;16;
17/03/2024;550347;17;
18/03/2024;1193240;18;
19/03/2024;1186975;19;
20/03/2024;1186823;20;
21/03/2024;1189852;21;
22/03/2024;1070739;22;
23/03/2024;738182;23;
24/03/2024;602385;24;
25/03/2024;1189677;25;
26/03/2024;1187533;26;
27/03/2024;1188138;27;
28/03/2024;1164143;28;
29/03/2024;662301;29;
30/03/2024;713388;30;
31/03/2024;621075;31;
01/04/2024;1126121;1;
02/04/2024;1159140;2;
03/04/2024;1144574;3;
04/04/2024;1097231;4;
05/04/2024;1046450;5;
06/04/2024;696891;6;
07/04/2024;602737;7;
08/04/2024;611444;8;
09/04/2024;495614;9;
10/04/2024;334789;10;
11/04/2024;481280;11;
12/04/2024;535906;12;
13/04/2024;646987;13;
14/04/2024;622202;14;
15/04/2024;727403;15;
16/04/2024;1016228;16;
17/04/2024;1094937;17;
18/04/2024;1126816;18;
19/04/2024;1134568;19;
20/04/2024;769162;20;
21/04/2024;668100;21;
22/04/2024;1179217;22;
23/04/2024;1189935;23;
24/04/2024;1202510;24;
25/04/2024;1190370;25;
26/04/2024;1173290;26;
27/04/2024;783384;27;
28/04/2024;687410;28;
29/04/2024;1170658;29;
30/04/2024;1185970;30;
01/05/2024;685485;1;
02/05/2024;1177299;2;
03/05/2024;1155576;3;
04/05/2024;801713;4;
05/05/2024;701049;5;
06/05/2024;1197302;6;
07/05/2024;1223878;7;
08/05/2024;1239648;8;
09/05/2024;727872;9;
10/05/2024;855915;10;
11/05/2024;793188;11;
12/05/2024;734457;12;
13/05/2024;1231170;13;
14/05/2024;1238837;14;
15/05/2024;1241336;15;
16/05/2024;1229401;16;
17/05/2024;1221876;17;
18/05/2024;848639;18;
19/05/2024;730335;19;
20/05/2024;1238643;20;
21/05/2024;1253256;21;
22/05/2024;1251442;22;
23/05/2024;703835;23;
24/05/2024;856274;24;
25/05/2024;755342;25;
26/05/2024;726615;26;
27/05/2024;1230649;27;
28/05/2024;1242030;28;
29/05/2024;1246323;29;
30/05/2024;1258449;30;
31/05/2024;1224491;31;
01/06/2024;817193;1;
02/06/2024;730832;2;
03/06/2024;1236594;3;
04/06/2024;1266654;4;
05/06/2024;1276021;5;
06/06/2024;1261933;6;
07/06/2024;1251558;7;
08/06/2024;873156;8;
09/06/2024;763276;9;
10/06/2024;1246892;10;
11/06/2024;1245940;11;
12/06/2024;1252232;12;
13/06/2024;1244140;13;
14/06/2024;1210476;14;
15/06/2024;792176;15;
16/06/2024;650471;16;
17/06/2024;424630;17;
18/06/2024;834190;18;
19/06/2024;1211872;19;
20/06/2024;1221791;20;
21/06/2024;1218522;21;
22/06/2024;1061448;22;
23/06/2024;839257;23;
24/06/2024;1200013;24;
25/06/2024;1199360;25;
26/06/2024;1216516;26;
27/06/2024;1197988;27;
28/06/2024;1183472;28;
29/06/2024;857366;29;
30/06/2024;831798;30;
