cases;deaths
340,56;10,2
340,56;10,2
340,56;10,2
340,56;10,2
340,56;10,2
340,56;10,2
309,7;8,57
309,7;8,57
309,7;8,57
309,7;8,57
309,7;8,57
309,7;8,57
309,7;8,57
333,13;8,01
333,13;8,01
333,13;8,01
333,13;8,01
333,13;8,01
333,13;8,01
333,13;8,01
342,66;7,57
342,66;7,57
342,66;7,57
342,66;7,57
342,66;7,57
342,66;7,57
342,66;7,57
370,9;7,6
370,9;7,6
370,9;7,6
370,9;7,6
370,9;7,6
370,9;7,6
370,9;7,6
416,6;7,91
416,6;7,91
416,6;7,91
416,6;7,91
416,6;7,91
416,6;7,91
416,6;7,91
479,71;8,65
479,71;8,65
479,71;8,65
479,71;8,65
479,71;8,65
479,71;8,65
479,71;8,65
514,93;9,44
514,93;9,44
514,93;9,44
514,93;9,44
514,93;9,44
514,93;9,44
514,93;9,44
570,65;10,06
570,65;10,06
570,65;10,06
570,65;10,06
570,65;10,06
570,65;10,06
570,65;10,06
654,98;10,75
654,98;10,75
654,98;10,75
654,98;10,75
654,98;10,75
654,98;10,75
654,98;10,75
712,96;11,44
712,96;11,44
712,96;11,44
712,96;11,44
712,96;11,44
712,96;11,44
712,96;11,44
712,71;12,02
712,71;12,02
712,71;12,02
712,71;12,02
712,71;12,02
712,71;12,02
712,71;12,02
683,99;11,54
683,99;11,54
683,99;11,54
683,99;11,54
683,99;11,54
683,99;11,54
683,99;11,54
602,31;10,96
602,31;10,96
602,31;10,96
602,31;10,96
602,31;10,96
602,31;10,96
602,31;10,96
527,79;10,79
527,79;10,79
527,79;10,79
527,79;10,79
527,79;10,79
527,79;10,79
527,79;10,79
444,04;9,84
444,04;9,84
444,04;9,84
444,04;9,84
444,04;9,84
444,04;9,84
444,04;9,84
376,26;8,57
376,26;8,57
376,26;8,57
376,26;8,57
376,26;8,57
376,26;8,57
376,26;8,57
331,43;8,91
331,43;8,91
331,43;8,91
331,43;8,91
331,43;8,91
331,43;8,91
331,43;8,91
317,57;7,88
317,57;7,88
317,57;7,88
317,57;7,88
317,57;7,88
317,57;7,88
317,57;7,88
329,43;7,02
329,43;7,02
329,43;7,02
329,43;7,02
329,43;7,02
329,43;7,02
329,43;7,02
345,5;6,72
345,5;6,72
345,5;6,72
345,5;6,72
345,5;6,72
345,5;6,72
345,5;6,72
411,32;6,84
411,32;6,84
411,32;6,84
411,32;6,84
411,32;6,84
411,32;6,84
411,32;6,84
451,5;7,05
451,5;7,05
451,5;7,05
451,5;7,05
451,5;7,05
451,5;7,05
451,5;7,05
470,27;8,72
470,27;8,72
470,27;8,72
470,27;8,72
470,27;8,72
470,27;8,72
470,27;8,72
518,7;8,15
518,7;8,15
518,7;8,15
518,7;8,15
518,7;8,15
518,7;8,15
518,7;8,15
553,48;8,63
553,48;8,63
553,48;8,63
553,48;8,63
553,48;8,63
553,48;8,63
553,48;8,63
565,75;8,72
565,75;8,72
565,75;8,72
565,75;8,72
565,75;8,72
565,75;8,72
565,75;8,72
575,66;8,94
575,66;8,94
575,66;8,94
575,66;8,94
575,66;8,94
575,66;8,94
575,66;8,94
571,88;8,87
571,88;8,87
571,88;8,87
571,88;8,87
571,88;8,87
571,88;8,87
571,88;8,87
545,72;8,5
545,72;8,5
545,72;8,5
545,72;8,5
545,72;8,5
545,72;8,5
545,72;8,5
492,01;7,84
492,01;7,84
492,01;7,84
492,01;7,84
492,01;7,84
492,01;7,84
492,01;7,84
461,34;7,62
461,34;7,62
461,34;7,62
461,34;7,62
461,34;7,62
461,34;7,62
461,34;7,62
439,07;6,94
439,07;6,94
439,07;6,94
439,07;6,94
439,07;6,94
439,07;6,94
439,07;6,94
389,38;6,56
389,38;6,56
389,38;6,56
389,38;6,56
389,38;6,56
389,38;6,56
389,38;6,56
370,16;6,05
370,16;6,05
370,16;6,05
370,16;6,05
370,16;6,05
370,16;6,05
370,16;6,05
360,94;5,77
360,94;5,77
360,94;5,77
360,94;5,77
360,94;5,77
360,94;5,77
360,94;5,77
376,32;6,18
376,32;6,18
376,32;6,18
376,32;6,18
376,32;6,18
376,32;6,18
376,32;6,18
391,51;6,37
391,51;6,37
391,51;6,37
391,51;6,37
391,51;6,37
391,51;6,37
391,51;6,37
398,07;6,16
398,07;6,16
398,07;6,16
398,07;6,16
398,07;6,16
398,07;6,16
398,07;6,16
435,34;6,32
435,34;6,32
435,34;6,32
435,34;6,32
435,34;6,32
435,34;6,32
435,34;6,32
483,57;6,85
483,57;6,85
483,57;6,85
483,57;6,85
483,57;6,85
483,57;6,85
483,57;6,85
506,6;6,28
506,6;6,28
506,6;6,28
506,6;6,28
506,6;6,28
506,6;6,28
506,6;6,28
534,89;6,75
534,89;6,75
534,89;6,75
534,89;6,75
534,89;6,75
534,89;6,75
534,89;6,75
539,98;6,23
539,98;6,23
539,98;6,23
539,98;6,23
539,98;6,23
539,98;6,23
539,98;6,23
588,64;5,93
588,64;5,93
588,64;5,93
588,64;5,93
588,64;5,93
588,64;5,93
588,64;5,93
762,32;5,83
762,32;5,83
762,32;5,83
762,32;5,83
762,32;5,83
762,32;5,83
762,32;5,83
1310,36;5,34
1310,36;5,34
1310,36;5,34
1310,36;5,34
1310,36;5,34
1310,36;5,34
1310,36;5,34
2077,48;5,71
2077,48;5,71
2077,48;5,71
2077,48;5,71
2077,48;5,71
2077,48;5,71
2077,48;5,71
2586,19;6,55
2586,19;6,55
2586,19;6,55
2586,19;6,55
2586,19;6,55
2586,19;6,55
2586,19;6,55
2946,66;7,48
2946,66;7,48
2946,66;7,48
2946,66;7,48
2946,66;7,48
2946,66;7,48
2946,66;7,48
2932,01;8,49
2932,01;8,49
2932,01;8,49
2932,01;8,49
2932,01;8,49
2932,01;8,49
2932,01;8,49
2494,38;9,5
2494,38;9,5
2494,38;9,5
2494,38;9,5
2494,38;9,5
2494,38;9,5
2494,38;9,5
1991,66;9,57
1991,66;9,57
1991,66;9,57
1991,66;9,57
1991,66;9,57
1991,66;9,57
1991,66;9,57
1611,12;8,71
1611,12;8,71
1611,12;8,71
1611,12;8,71
1611,12;8,71
1611,12;8,71
1611,12;8,71
1383,09;7,44
1383,09;7,44
1383,09;7,44
1383,09;7,44
1383,09;7,44
1383,09;7,44
1383,09;7,44
1364,37;6,5
1364,37;6,5
1364,37;6,5
1364,37;6,5
1364,37;6,5
1364,37;6,5
1364,37;6,5
1477,67;5,48
1477,67;5,48
1477,67;5,48
1477,67;5,48
1477,67;5,48
1477,67;5,48
1477,67;5,48
1549,39;4,23
1549,39;4,23
1549,39;4,23
1549,39;4,23
1549,39;4,23
1549,39;4,23
1549,39;4,23
1376,63;5,82
1376,63;5,82
1376,63;5,82
1376,63;5,82
1376,63;5,82
1376,63;5,82
1376,63;5,82
1172,72;3,36
1172,72;3,36
1172,72;3,36
1172,72;3,36
1172,72;3,36
1172,72;3,36
1172,72;3,36
901,23;2,86
901,23;2,86
901,23;2,86
901,23;2,86
901,23;2,86
901,23;2,86
901,23;2,86
713,18;2,4
713,18;2,4
713,18;2,4
713,18;2,4
713,18;2,4
713,18;2,4
713,18;2,4
588,7;2,11
588,7;2,11
588,7;2,11
588,7;2,11
588,7;2,11
588,7;2,11
588,7;2,11
500,54;2,04
500,54;2,04
500,54;2,04
500,54;2,04
500,54;2,04
500,54;2,04
500,54;2,04
453;1,61
453,01;1,61
453,02;1,61
453,03;1,61
453,04;1,61
453,05;1,61
453,06;1,61
496,19;1,4
496,19;1,4
496,19;1,4
496,19;1,4
496,19;1,4
496,19;1,4
496,19;1,4
473,4;1,3
473,4;1,3
473,4;1,3
473,4;1,3
473,4;1,3
473,4;1,3
473,4;1,3
423,95;1,29
423,95;1,29
423,95;1,29
423,95;1,29
423,95;1,29
423,95;1,29
423,95;1,29
407,94;1,16
407,94;1,16
407,94;1,16
407,94;1,16
407,94;1,16
407,94;1,16
407,94;1,16
441;1,17
441,01;1,17
441,02;1,17
441,03;1,17
441,04;1,17
441,05;1,17
441,06;1,17
471,96;1,15
471,96;1,15
471,96;1,15
471,96;1,15
471,96;1,15
471,96;1,15
471,96;1,15
574,8;1,3
574,8;1,3
574,8;1,3
574,8;1,3
574,8;1,3
574,8;1,3
574,8;1,3
661,15;1,42
661,15;1,42
661,15;1,42
661,15;1,42
661,15;1,42
661,15;1,42
661,15;1,42
793,81;1,56
793,81;1,56
793,81;1,56
793,81;1,56
793,81;1,56
793,81;1,56
793,81;1,56
873,5;1,83
873,5;1,83
873,5;1,83
873,5;1,83
873,5;1,83
873,5;1,83
873,5;1,83
897,92;2,07
897,92;2,07
897,92;2,07
897,92;2,07
897,92;2,07
897,92;2,07
897,92;2,07
901,8;2,22
901,8;2,22
901,8;2,22
901,8;2,22
901,8;2,22
901,8;2,22
901,8;2,22
869,36;2,15
869,36;2,15
869,36;2,15
869,36;2,15
869,36;2,15
869,36;2,15
869,36;2,15
720,06;2,17
720,06;2,17
720,06;2,17
720,06;2,17
720,06;2,17
720,06;2,17
720,06;2,17
674,2;2
674,2;2
674,2;2
674,2;2
674,2;2
674,2;2
674,2;2
596,52;1,9
596,52;1,9
596,52;1,9
596,52;1,9
596,52;1,9
596,52;1,9
596,52;1,9
536,96;1,74
536,96;1,74
536,96;1,74
536,96;1,74
536,96;1,74
536,96;1,74
536,96;1,74
409,22;1,43
409,22;1,43
409,22;1,43
409,22;1,43
409,22;1,43
409,22;1,43
409,22;1,43
425,05;1,34
425,05;1,34
425,05;1,34
425,05;1,34
425,05;1,34
425,05;1,34
425,05;1,34
402,84;1,27
402,84;1,27
402,84;1,27
402,84;1,27
402,84;1,27
402,84;1,27
402,84;1,27
404,4;1,28
404,4;1,28
404,4;1,28
404,4;1,28
404,4;1,28
404,4;1,28
404,4;1,28
402,88;1,4
402,88;1,4
402,88;1,4
402,88;1,4
402,88;1,4
402,88;1,4
402,88;1,4
397,5;1,36
397,5;1,36
397,5;1,36
397,5;1,36
397,5;1,36
397,5;1,36
397,5;1,36
362,7;1,48
362,7;1,48
362,7;1,48
362,7;1,48
362,7;1,48
362,7;1,48
362,7;1,48
317,24;1,44
317,24;1,44
317,24;1,44
317,24;1,44
317,24;1,44
317,24;1,44
317,24;1,44
292,23;1,4
292,23;1,4
292,23;1,4
292,23;1,4
292,23;1,4
292,23;1,4
292,23;1,4
311,57;1,19
311,57;1,19
311,57;1,19
311,57;1,19
311,57;1,19
311,57;1,19
311,57;1,19
335,71;1,17
335,71;1,17
335,71;1,17
335,71;1,17
335,71;1,17
335,71;1,17
335,71;1,17
372,7;1,28
372,7;1,28
372,7;1,28
372,7;1,28
372,7;1,28
372,7;1,28
372,7;1,28
405,17;1,27
405,17;1,27
405,17;1,27
405,17;1,27
405,17;1,27
405,17;1,27
405,17;1,27
577,67;1,6
577,67;1,6
577,67;1,6
577,67;1,6
577,67;1,6
577,67;1,6
577,67;1,6
1874,71;1,84
1874,71;1,84
1874,71;1,84
1874,71;1,84
1874,71;1,84
1874,71;1,84
1874,71;1,84
5536,97;2,54
5536,97;2,54
5536,97;2,54
5536,97;2,54
5536,97;2,54
5536,97;2,54
5536,97;2,54
3471,25;4,05
3471,25;4,05
3471,25;4,05
3471,25;4,05
3471,25;4,05
3471,25;4,05
3471,25;4,05
1374,35;3,08
1374,35;3,08
1374,35;3,08
1374,35;3,08
1374,35;3,08
1374,35;3,08
1374,35;3,08
611,69;1,36
611,69;1,36
611,69;1,36
611,69;1,36
611,69;1,36
611,69;1,36
611,69;1,36
314,78;1,22
314,78;1,22
314,78;1,22
314,78;1,22
314,78;1,22
314,78;1,22
314,78;1,22
195,2;1,05
195,2;1,05
195,2;1,05
195,2;1,05
195,2;1,05
195,2;1,05
195,2;1,05
173,44;8,72
173,44;8,72
173,44;8,72
173,44;8,72
173,44;8,72
173,44;8,72
173,44;8,72
156,15;1,26
156,15;1,26
156,15;1,26
156,15;1,26
156,15;1,26
156,15;1,26
156,15;1,26
143,42;1,07
143,42;1,07
143,42;1,07
143,42;1,07
143,42;1,07
143,42;1,07
143,42;1,07
134,29;0,97
134,29;0,97
134,29;0,97
134,29;0,97
134,29;0,97
134,29;0,97
134,29;0,97
128,73;0,88
128,73;0,88
128,73;0,88
128,73;0,88
128,73;0,88
128,73;0,88
128,73;0,88
112,01;0,79
112,01;0,79
112,01;0,79
112,01;0,79
112,01;0,79
112,01;0,79
112,01;0,79
110,05;0,83
110,05;0,83
110,05;0,83
110,05;0,83
110,05;0,83
110,05;0,83
110,05;0,83
104,28;0,84
104,28;0,84
104,28;0,84
104,28;0,84
104,28;0,84
104,28;0,84
104,28;0,84
100,08;0,75
100,08;0,75
100,08;0,75
100,08;0,75
100,08;0,75
100,08;0,75
100,08;0,75
87,75;0,7
87,75;0,7
87,75;0,7
87,75;0,7
87,75;0,7
87,75;0,7
87,75;0,7
86,97;0,66
86,97;0,66
86,97;0,66
86,97;0,66
86,97;0,66
86,97;0,66
86,97;0,66
92,33;0,66
92,33;0,66
92,33;0,66
92,33;0,66
92,33;0,66
92,33;0,66
92,33;0,66
85,69;0,59
85,69;0,59
85,69;0,59
85,69;0,59
85,69;0,59
85,69;0,59
85,69;0,59
76,28;0,59
76,28;0,59
76,28;0,59
76,28;0,59
76,28;0,59
76,28;0,59
76,28;0,59
70,96;0,63
70,96;0,63
70,96;0,63
70,96;0,63
70,96;0,63
70,96;0,63
70,96;0,63
46,55;0,36
46,55;0,36
46,55;0,36
46,55;0,36
46,55;0,36
46,55;0,36
46,55;0,36
43,44;0,34
43,44;0,34
43,44;0,34
43,44;0,34
43,44;0,34
43,44;0,34
43,44;0,34
36,3;0,3
36,3;0,3
36,3;0,3
36,3;0,3
36,3;0,3
36,3;0,3
36,3;0,3
35,12;0,3
35,12;0,3
35,12;0,3
35,12;0,3
35,12;0,3
35,12;0,3
35,12;0,3
17,89;0,23
17,89;0,23
17,89;0,23
17,89;0,23
17,89;0,23
17,89;0,23
17,89;0,23
25,66;0,2
25,66;0,2
25,66;0,2
25,66;0,2
25,66;0,2
25,66;0,2
25,66;0,2
22,09;0,14
22,09;0,14
22,09;0,14
22,09;0,14
22,09;0,14
22,09;0,14
22,09;0,14
22,83;0,13
22,83;0,13
22,83;0,13
22,83;0,13
22,83;0,13
22,83;0,13
22,83;0,13
25,23;0,12
25,23;0,12
25,23;0,12
25,23;0,12
25,23;0,12
25,23;0,12
25,23;0,12
31,31;0,13
31,31;0,13
31,31;0,13
31,31;0,13
31,31;0,13
31,31;0,13
31,31;0,13
39,68;0,14
39,68;0,14
39,68;0,14
39,68;0,14
39,68;0,14
39,68;0,14
39,68;0,14
87,83;0,2
87,83;0,2
87,83;0,2
87,83;0,2
87,83;0,2
87,83;0,2
87,83;0,2
16,78;0,17
16,78;0,17
16,78;0,17
16,78;0,17
16,78;0,17
16,78;0,17
16,78;0,17
43,02;0,21
43,02;0,21
43,02;0,21
43,02;0,21
43,02;0,21
43,02;0,21
43,02;0,21
44,67;0,25
44,67;0,25
44,67;0,25
44,67;0,25
44,67;0,25
44,67;0,25
44,67;0,25
42,57;0,24
42,57;0,24
42,57;0,24
42,57;0,24
42,57;0,24
42,57;0,24
42,57;0,24
29,19;0,28
29,19;0,28
29,19;0,28
29,19;0,28
29,19;0,28
29,19;0,28
29,19;0,28
15,09;0,28
15,09;0,28
15,09;0,28
15,09;0,28
15,09;0,28
15,09;0,28
15,09;0,28
17,13;0,29
17,13;0,29
17,13;0,29
17,13;0,29
17,13;0,29
17,13;0,29
17,13;0,29
19,71;0,32
19,71;0,32
19,71;0,32
19,71;0,32
19,71;0,32
19,71;0,32
19,71;0,32
20,92;0,33
20,92;0,33
20,92;0,33
20,92;0,33
20,92;0,33
20,92;0,33
20,92;0,33
18,91;0,32
18,91;0,32
18,91;0,32
18,91;0,32
18,91;0,32
18,91;0,32
18,91;0,32
17,61;0,51
17,61;0,51
17,61;0,51
17,61;0,51
17,61;0,51
17,61;0,51
17,61;0,51
17,81;0,27
17,81;0,27
17,81;0,27
17,81;0,27
17,81;0,27
17,81;0,27
17,81;0,27
19,73;0,3
19,73;0,3
19,73;0,3
19,73;0,3
19,73;0,3
19,73;0,3
19,73;0,3
21,89;0,34
21,89;0,34
21,89;0,34
21,89;0,34
21,89;0,34
21,89;0,34
21,89;0,34
25,9;0,35
25,9;0,35
25,9;0,35
25,9;0,35
25,9;0,35
25,9;0,35
25,9;0,35
29,74;0,34
29,74;0,34
29,74;0,34
29,74;0,34
29,74;0,34
29,74;0,34
29,74;0,34
35,24;0,42
35,24;0,42
35,24;0,42
35,24;0,42
35,24;0,42
35,24;0,42
35,24;0,42
41,62;0,44
41,62;0,44
41,62;0,44
41,62;0,44
41,62;0,44
41,62;0,44
41,62;0,44
47,76;0,46
47,76;0,46
47,76;0,46
47,76;0,46
47,76;0,46
47,76;0,46
47,76;0,46
44,63;0,46
44,63;0,46
44,63;0,46
44,63;0,46
44,63;0,46
44,63;0,46
44,63;0,46
32,87;0,49
32,87;0,49
32,87;0,49
32,87;0,49
32,87;0,49
32,87;0,49
32,87;0,49
24,9;0,53
24,9;0,53
24,9;0,53
24,9;0,53
24,9;0,53
24,9;0,53
24,9;0,53
23,47;0,51
23,47;0,51
23,47;0,51
23,47;0,51
23,47;0,51
23,47;0,51
23,47;0,51
17,24;0,46
17,24;0,46
17,24;0,46
17,24;0,46
17,24;0,46
17,24;0,46
17,24;0,46
14,54;0,38
14,54;0,38
14,54;0,38
14,54;0,38
14,54;0,38
14,54;0,38
14,54;0,38
12,54;0,31
12,54;0,31
12,54;0,31
12,54;0,31
12,54;0,31
12,54;0,31
12,54;0,31
11,12;0,28
11,12;0,28
11,12;0,28
11,12;0,28
11,12;0,28
11,12;0,28
11,12;0,28
9,86;0,23
9,86;0,23
9,86;0,23
9,86;0,23
9,86;0,23
9,86;0,23
9,86;0,23
9,58;0,22
9,58;0,22
9,58;0,22
9,58;0,22
9,58;0,22
9,58;0,22
9,58;0,22
9;0,21
9,01;0,21
9,02;0,21
9,03;0,21
9,04;0,21
9,05;0,21
9,06;0,21
7,62;0,18
7,62;0,18
7,62;0,18
7,62;0,18
7,62;0,18
7,62;0,18
7,62;0,18
7,26;0,17
7,26;0,17
7,26;0,17
7,26;0,17
7,26;0,17
7,26;0,17
7,26;0,17
6,36;0,16
6,36;0,16
6,36;0,16
6,36;0,16
6,36;0,16
6,36;0,16
6,36;0,16
14,28;0,12
